nace_r2,wstatus,worktime,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
H51,EMP,PT,THS,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: bc
H51,EMP,PT,THS,HU	: c	: c	: 	: 	: u	: c	: c	: u	: c	: bc
H51,EMP,PT,THS,IE	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,EMP,PT,THS,IS	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,EMP,PT,THS,IT	4.3 	5.0 	4.6 	4.5 	5.6 	5.8 	3.7 	4.2 	2.5 	2.7 b
H51,EMP,PT,THS,LT	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 
H51,EMP,PT,THS,LU	: u	: u	: bu	: c	: u	: u	: u	: u	: bu	: bu
H51,EMP,PT,THS,LV	: 	: c	: 	: 	: 	: 	: 	: 	: 	: bc
H51,EMP,PT,THS,MT	0.5 u	: u	: u	: u	: u	: u	: c	: u	: c	: bu
H51,EMP,PT,THS,NL	7.9 	9.2 	9.5 	10.7 	9.8 b	11.3 	11.0 b	12.2 b	13.6 	11.0 b
H51,EMP,PT,THS,NO	0.6 	0.9 u	1.2 u	0.9 u	1.5 u	1.7 	1.1 u	1.4 u	1.3 u	1.9 bu
H51,EMP,PT,THS,PL	: c	: c	: c	: c	: c	: 	: 	: bc	: c	: 
H51,EMP,PT,THS,PT	: u	: u	: u	: u	: u	: u	: bu	: c	: u	: bu
H51,EMP,PT,THS,RO	: 	: 	: c	: 	: 	: 	: c	: bc	: 	: bc
H51,EMP,PT,THS,SE	2.1 	2.3 	2.1 	1.6 u	1.6 u	1.6 u	1.5 u	1.8 u	: u	: bu
H51,EMP,PT,THS,SI	: c	: c	: 	: 	: 	: c	: u	: u	: u	: bu
H51,EMP,PT,THS,SK	: 	: 	: 	: 	: 	: 	: bc	: c	: bc	: 
H51,EMP,PT,THS,TR	2.5 u	: c	: c	: bc	: c	: c	1.3 u	: c	1.1 u	: 
H51,EMP,PT,THS,UK	9.0 u	12.6 	14.3 	14.2 	11.3 	10.2 	7.5 u	8.7 u	9.7 u	7.1 bu
H51,EMP,TOTAL,THS,AT	8.0 	8.3 	7.9 	8.0 	9.3 	9.3 	10.3 	8.8 	10.7 	8.4 b
H51,EMP,TOTAL,THS,BE	12.3 b	12.6 	10.1 	9.8 	10.1 	12.4 	11.5 b	12.0 	9.2 	11.4 b
H51,EMP,TOTAL,THS,BG	: u	: u	: u	: u	3.3 u	: u	: bu	: bu	: u	: bu
H51,EMP,TOTAL,THS,CH	10.7 	12.2 	8.9 	8.3 	8.2 	9.7 	9.8 	10.1 b	7.2 	5.8 bu
H51,EMP,TOTAL,THS,CY	: u	: u	: u	1.3 u	1.6 	1.1 u	1.8 	1.4 u	1.6 b	2.0 b
H51,EMP,TOTAL,THS,CZ	8.1 	6.1 	3.7 	7.2 	8.5 	6.6 	11.9 b	11.8 	9.3 	9.4 b
H51,EMP,TOTAL,THS,DE	79.0 	79.5 	77.0 	78.9 	84.3 	95.2 	86.2 b	93.4 b	88.3 	82.2 b
H51,EMP,TOTAL,THS,DK	5.0 b	4.6 b	6.1 	7.0 	6.3 	7.5 	7.3 	5.3 	4.1 	6.9 b
H51,EMP,TOTAL,THS,EA17	298.5 	300.8 	315.5 	319.4 	317.6 	338.7 	346.7 	349.6 	343.3 	355.3 b
H51,EMP,TOTAL,THS,EA18	300.9 	303.2 	316.9 	320.9 	318.8 	341.2 	349.3 	352.2 	345.4 	356.8 b
H51,EMP,TOTAL,THS,EA19	301.7 	303.5 	317.4 	321.7 	319.1 	341.5 	349.7 	352.5 	345.8 	357.3 b
H51,EMP,TOTAL,THS,EE	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,EMP,TOTAL,THS,EL	7.6 	8.2 	9.1 	8.7 	7.2 	8.5 	8.6 	7.2 	6.5 b	6.7 b
H51,EMP,TOTAL,THS,ES	42.0 	38.0 	41.1 	44.2 	44.2 	38.9 	49.6 	54.1 	50.8 	53.3 b
H51,EMP,TOTAL,THS,EU15	373.9 	376.5 	390.0 	397.9 	382.6 	410.2 	419.6 	417.1 	417.8 	413.0 b
H51,EMP,TOTAL,THS,EU27	418.1 	417.0 	427.5 	440.0 	422.8 	450.4 	466.9 	462.4 	460.4 	453.6 b
H51,EMP,TOTAL,THS,EU28	419.1 	417.1 	427.5 	441.1 	423.6 	450.5 	467.3 	463.2 	460.8 	454.5 b
H51,EMP,TOTAL,THS,FI	6.5 	5.2 	5.3 	5.5 	5.8 	5.2 	5.7 	6.2 	7.1 	8.9 b
H51,EMP,TOTAL,THS,FR	67.2 	72.8 	86.7 	78.7 b	74.4 	83.1 	84.5 	75.8 	68.9 	83.4 b
H51,EMP,TOTAL,THS,HR	: u	: c	: 	1.1 u	: u	: c	: c	: c	: c	: bu
H51,EMP,TOTAL,THS,HU	4.9 	5.8 	5.4 	5.7 	3.9 u	3.0 u	7.2 	6.8 	5.3 	4.2 bu
H51,EMP,TOTAL,THS,IE	7.3 b	7.7 	10.5 	10.6 	9.1 	8.8 	8.2 	9.6 	8.7 	7.5 b
H51,EMP,TOTAL,THS,IS	3.3 	3.0 	2.1 	2.0 	2.0 	1.6 	1.9 	1.9 	2.0 	2.0 b
H51,EMP,TOTAL,THS,IT	25.9 	22.3 	24.3 	32.1 	30.4 	32.7 	32.9 	32.1 	32.3 	36.5 b
H51,EMP,TOTAL,THS,LT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
H51,EMP,TOTAL,THS,LU	2.3 	2.4 	2.3 b	2.4 	2.3 	2.2 	2.6 	2.7 	2.4 b	3.2 b
H51,EMP,TOTAL,THS,LV	2.4 	2.4 	1.5 u	1.5 u	: u	2.6 u	2.6 u	2.5 u	2.1 u	1.5 bu
H51,EMP,TOTAL,THS,ME	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 
H51,EMP,TOTAL,THS,MK	: c	: c	: c	: c	: c	: c	0.6 u	: 	: 	: 
H51,EMP,TOTAL,THS,MT	1.7 	1.5 	1.6 	1.7 	1.1 	1.2 	1.6 	1.6 	1.2 	1.4 b
H51,EMP,TOTAL,THS,NL	24.5 	24.5 	24.8 	25.9 	26.7 b	30.5 	33.1 b	33.7 b	36.6 	34.1 b
H51,EMP,TOTAL,THS,NO	5.5 	6.4 	6.9 	7.4 	8.6 	8.7 	6.5 	6.7 	7.5 	7.9 b
H51,EMP,TOTAL,THS,PL	14.2 u	10.1 u	9.9 u	11.8 u	7.8 u	9.7 u	7.9 u	6.6 bu	5.4 u	5.8 bu
H51,EMP,TOTAL,THS,PT	11.2 	12.9 	10.2 	8.7 	7.7 	7.1 	6.7 b	7.2 	13.5 	10.5 b
H51,EMP,TOTAL,THS,RO	6.5 u	7.0 u	8.0 u	6.5 u	8.9 u	10.2 u	8.6 u	7.6 bu	8.7 u	7.7 bu
H51,EMP,TOTAL,THS,SE	7.8 	8.1 	6.5 	6.0 	6.6 	6.9 	6.4 	7.4 	7.6 	7.9 b
H51,EMP,TOTAL,THS,SI	: u	0.8 u	0.8 u	0.5 u	1.5 u	1.2 u	1.6 u	1.9 u	2.0 u	1.6 bu
H51,EMP,TOTAL,THS,SK	: u	2.7 u	2.6 u	2.3 u	: u	: u	: bu	: u	2.3 bu	2.8 bu
H51,EMP,TOTAL,THS,TR	37.7 	35.9 	29.9 	22.0 b	41.3 	23.8 	24.1 	21.7 	26.2 	: 
H51,EMP,TOTAL,THS,UK	67.3 	69.4 	68.1 	71.4 	58.4 	62.0 	65.9 	61.7 	71.0 	52.0 b
H51,NRP,FT,THS,EA17	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
H51,NRP,FT,THS,EA18	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 
